,description,value
10,"<html><body><p><strong>Responsibilities: </strong></p><p>·         Requirement elicitation  </p><p>·         Software design and implementation  </p><p>·         Providing technical solutions </p><p><strong>Expected skill set:</strong></p><p>·         Strong knowledge of Embedded concepts &amp; architecture  </p><p>·         Very good knowledge in C/C++ language  </p><p>·         Experience in debugging software and hardware issues  </p><p>·         Hands on experience in AUTOSAR architecture </p><p><strong>Soft skills: </strong></p><p>·         Good communication and interpersonal skills  </p><p>·         Goal oriented, team player, focus on quality  </p><p>·         Willingness to take higher responsibility </p></body></html>",Bengaluru
11,"<html><body><p>Mandatory Skills:</p><p>• Hands-on experience in programming Low-level drivers for LINUX<br/>• Hands-on experience in Communication Protocols – CAN, MOST, LIN, FlexRay.<br/>• Hands-on experience in debugging using Lauterbach, GDB, etc.<br/>• Internodes communication experience<br/>• Hands-on experience in Error Management and Diagnostic concepts<br/>• Strong in AUTOSAR concepts<br/>o Basic AUTOSAR Concepts<br/>o AUTOSAR Modeling and Configuration<br/>o System Configuration (TopLevelComposition like Component instances, connectors)<br/>o ECU Configuration (BSW Configuration like OS, network management, CommStack, etc.)<br/>• All activities of SDLC (Requirement Analysis, Coding, Design, Testing, Reviews etc)<br/>• Work experience in Automotive Domain .</p><p>Good programming skills C/C++</p></body></html>",Bengaluru
12,"<html><body><ul><li>Support varied system Engineering topics wrt ECU Software development for Platform and Customer specific requirements</li><li>Formulate detailed requirements and verification criteria down to the level of sensors and actuators.</li><li>Assignment of the requirements to the different domains (SW, HW, CAL).</li><li>Usage of the tool for requirements engineering – DOORS</li><li>Ability to handle product engineering processes (component development, SW-development, calibration)</li><li>Failure handling in SW solutions of automotive systems.</li></ul></body></html>",Bengaluru
13,"<html><body><ul><li>Hands-on experience in SW Engineering in Automotive domain<ul><li>Good programming skills C/C++</li><li>Experience in application/BSW integration and responsible for SW deliveries.</li></ul></li><li>Good hands-on experience with Social coding with GIT, MKS, SVN  etc.</li><li>Experience with scripting/automation languages: Python, Perl, etc</li><li>Exposure to Build tool chain and compilation tools like Arm, GHS compilers etc.,</li><li>Hands-on experience in Communication Protocols – CAN, LIN, Ethernet, etc.</li><li>Hands-on experience in debugging using Lauterbach, GDB, Trace32 etc.</li><li>Exposure to AUTOSAR concepts :Modeling and Configuration</li><li>ECU Configuration (BSW Configuration like OS, network management, CommStack, etc.)</li><li>Hands-on experience in Error Management and Diagnostic concepts</li><li>All activities of SDLC (Requirement Analysis, Coding, Design, Testing, Reviews etc)</li><li>Strong communication skills and drive for results.</li><li>Added advantage if experienced in Automotive BSW Integration topics.</li><li>Added advantage if experienced in Jenkins.</li></ul></body></html>",Bengaluru
14,"<html><body><p><strong>About Video Project:</strong></p><p>The camera based driver assistance system helps the driver by recognizing their surroundings quickly and reliably, then by processing information with remarkable speed and responding to the situation in safe &amp; comfortable manner. Overall, they help to improve the safety by mitigating the potential accidents through predictive sensing of dangerous situations and also sharing the critical Information to the driver to improve the driving experience</p><p>For more info:</p><p><a href=""https://www.bosch-mobility-solutions.com/en/highlights/automated-mobility/driver-assistance-systems-for-passenger-cars/"">https://www.bosch-mobility-solutions.com/en/highlights/automated-mobility/driver-assistance-systems-for-passenger-cars/</a></p><p><a href=""https://www.bosch.com/stories/mpc3-self-driving-car-camera/"">https://www.bosch.com/stories/mpc3-self-driving-car-camera/</a></p><p> </p><p><strong>Job Description</strong>:</p><p>1.     Customer Requirement analysis, System &amp; software requirements elicitation, design and implementation of Vehicle Diagnostics Software and Fault Management software</p><p>2.     Development &amp; Execution of Unit Test as part of development</p><p>3.     Analyzing and debugging of Defects</p><p>4.     Actively respond to the customer queries, defects and close them within stipulated time</p><p><strong>Technical Skills:</strong></p><p>1.     Solid experience in C and C++ programming for Automotive Embedded software</p><p>2.     Experience in development of Vehicle Diagnostics and Fault Management software</p><p>3.     Experience in protocols like ISO 14229, ISO 15765, ISO 14230</p><p>4.     Basic overview of ISO 26262, ASIL standards</p><p>5.     Experience in AUTOSAR modules like Diagnostic Error Management(DEM), Diagnostic Communication Management(DCM) , Com Stack(CAN/Ethernet protocol)</p><p>6.     Knowledge in tools like CANAnalyzer / CANoe, Lauterbach</p><p>7.     Good work experience on microcontrollers with ability to develop the software for NVM/EEPROM handling etc.</p><p>8.     Familiar with tools like Git, MKS, JIRA &amp; DOORS</p><p>9.     Excellent verbal &amp; written communication skills, Presentation skills</p><p>10.  Great problem solving ability, ability to cope up with pressure</p><p> </p></body></html>",Bengaluru
15,"<html><body><p>•Feature/Subsystem ownership in customer projects (e.g.: specialist in some feature /  function).</p><p>•Responsible for Customer interaction and product requirement analysis.</p><p>•Responsible for System Requirement, Design &amp; Implementation of Functions or Base SW development (Diagnostics UDS &amp; Memory stack) for Advanced Driver Assistance Systems</p><p>•Responsible for Development &amp; Execution of necessary tests as part of development.</p><p>•Responsible for handling complex tasks and delivery of subcomponents / features.</p><p>•Mentoring the lesser experienced team members in progression towards topic ownership.</p><p>•Contribute to improve the team's training and competency plan.</p><p>•Active contribution towards debugging complex issues and solution for the same</p></body></html>",Bengaluru
16,"<html><body><p>Experience in programming Embedded C++ applications with strong background in C++ inheritance, templates and pointers.<br/>• Strong in OS concepts like efficient multi-threading and resource-sharing.<br/>• OpenGL/OpenGL ES knowledge is an added advantage.<br/>• Experience with rendering engines like Open Scene Graph is an added advantage.<br/>• Strong communication and interpersonal skills.<br/>• Must be a self-starter.<br/>• Ability to work as part of a dedicated project team and independently<br/>• Strong C++ Programming skills<br/>• Automotive domain<br/>• Design methodology using OOAD &amp; UML<br/>• Embedded development tools and methodologies<br/>• Version Control Systems – Clear Case / RTC /GIT<br/>Strong development experience in embedded C and RTOS<br/>Should have detailed knowledge on microcontrollers / microprocessors ( ARM, Renesas preferable)<br/>Strong development experience in Ethernet/ Flexray, UDS / KWP, SPI , UART, I2C communication protocols<br/>Knowledge in tools like CANalyser / CANoe, CANDiva, CANstress, CANDELA studio, Lauterbach<br/>Experience in configuration management &amp; defect tracking tools<br/>Strong debugging skills<br/>Experience in using tools like Logiscope / Function Generator / Oscilloscope, etc.</p></body></html>",Bengaluru
17,"<html><body><p><strong>Expected Scope of work / Responsibilities: </strong></p><p>SAP PS Consultant with exposure to CPM and PPM</p><p>Responsibilities:</p><p>Responsible for conducting business blueprint workshops, finalize solution design, prepare blueprint documentation and functional specifications, complete build and unit testing, system integration testing and participating in performance &amp; regression testing, conduct training to core team and participation in cutover and post go live support related to SAP PS, PPM, CPM.</p><p>Reporting into the Program Director /CFO / Executive Team of organization</p><p><u>Key Skills:</u></p><p>·       In-depth knowledge of SAP Commercial Project Management, Project Systems and Portfolio &amp; Project Management .Min . 1-2 Implementation in CPM/PPM completed</p><p>·       Experience in Industry / Corporate process implementation across all related applications (SAP / Non SAP)</p><p>·       Experience in defining systems strategy, developing systems requirements, designing and prototyping, testing, training, defining support procedures and implementing practical business solutions under multiple deadliness</p><p>·       Experience of managing SAP CPM, PS and PPM team members and active involvement with Functional Business Process Owners in order to identify business requirements, define business process solutions, configure and test the SAP system and document the business process design and configuration settings.</p><p>·       Ability to work in a fast paced team atmosphere and to work with client personnel at various levels effectively is critical.</p><p>·       Good written and oral communication English skills</p><p>·       IT experience with min 4+ years of SAP experience implementing SAP CPM.</p><p>·       Good knowledge of implementing SAP CPM for discrete manufacturing, hi-tech, automotive industry Experience of working closely with the Portfolio &amp; Project Management and Project Systems work streams in Offshore / Onsite model.</p><ul><li>Experience performing business process redesign/improvement workshops related to Portfolio Project and Resource Management</li><li>At least 2 Full life cycle PPM &amp; CPM project experience including conducting blue printing workshops hands-on configuration functional specification preparation and ability to guide the technical team</li><li>Expertise in PPM integration points with Project Systems Internal Orders HR CATS Purchasing &amp; FICO</li><li>Experience with PPM report and BCV Queries</li></ul><p>Minimum of 5 years consulting experience in implementing SAP Portfolio and Project Management (PPM)</p><p> </p></body></html>",Bengaluru
18,<html><body><p>ADAS System Tools Specialist</p><p>Concepts Knoweldge :</p><p>·         OOP</p><p>·         Testing concepts ( ISTQB foundation Level )</p><p>·         Minimum 1-2 years Testing Experience</p><p>·         Configuration Management GIT concepts</p><p>·         REST APIs</p><p>·         Socket Programming</p><p>·         COM interfaces</p><p>·         <em>Ms Azure Cloud Concepts (is plus)</em></p><p>·         Dev Ops CI/CD concepts </p><p> </p><p>Programming Language Knoweldge &amp; Frameworks:</p><p>·         Python</p><p>·         C#</p><p>·         <em>Javascript (is a plus)</em></p><p>·         <em>Angular Frameworks (is a plus)</em></p><p>·         <em>Groovy (is a plus) ( Writing Jenkins Pipelines)</em></p><p> </p><p>Tools Knoweldge :</p><p>·         Vector CANoe</p><p>·         vTestStudio</p><p>·         RQM</p><p>·         <em>PowerBI (is plus)</em></p><p>·         BitBucket</p><p>·         JIRA</p><p>·         Jenkins - usage</p><p>·         <em>Jenkins - admin ( is plus)</em></p><p>·         <em>Ms Azure Pipelines (is plus)</em></p><p> </p></body></html>,Bengaluru
19,,Bengaluru
20,"<html><body><ul><li>Responsible for SW requirements analysis, internal request of SW components, put new SW into operation and test SW</li><li>Handling and tracking System requirements (Issue SW)                </li><li>Coordination of System &amp; SW requirements (Issue SW) between customer project &amp; customer platform</li><li>Initiation of technical System &amp; SW requirement clarification with customer, function development and calibration</li><li>Identifying customer requirements affecting monitoring functions</li><li>Creating rough System requirement description</li><li>Carrying out System &amp; SW implementation review with function development/and if required with customer       </li><li>Carrying out functional acceptance of delivered System or SW (Function development, on demand with customer)</li><li>Verification of customer documentation</li><li>Clarifying functional safety related requirements</li><li>Take lead in driving initiatives to enhance the team know how</li></ul></body></html>",Bengaluru
21,"<html><body><ul><li>Design and Develop benchmark microprocessor based Vehicle computer SW platform solutions</li><li>Technically enable Project Development adhering to Project Requirements, Goals, Scope, and Deliverables. Provide sound technical advice from a system point of view.</li><li>Requirements Analysis, Architecture/Design, Implementation, Test &amp; Documents for   documentation for DA products / projects</li><li>Ensuring timely completion &amp; Delivery of Tasks.</li><li>Ensure Process compliance with respect to Process Landscape and ASPICE.</li></ul></body></html>",Bengaluru
22,"<html><body><ol><li>A software architect needs to <strong><em>interact with customer</em></strong>, <strong>product managers, and developers </strong>in order to <em>envision, model and provide initial models</em> and designs that can be built. This role also may cover the meeting potential or current customers.</li><li>A software architect has to constantly <strong><em>review the code</em></strong> to ensure the quality of the design by avoiding complexity, advocating clarity and to do this with the team. This usually requires hands-on work in terms of developing prototypes, contributing code or evaluating technologies.</li><li>The role of a software architect includes <strong><em>collaborative working</em> </strong>with a degree of humility and providing mentoring as required. Such collaboration also allows the architect to become familiar with the skills and interests in the team and to share their knowledge with the rest of the team. Humility is required to ensure that all the team is listened to, as they may have more specific experience or knowledge for the problem at hand.</li><li>A software architect is a <strong>guiding star</strong> that shows to the business which technologies it should be using and what new technologies it should be considering, and why.</li></ol></body></html>",Bengaluru
23,"<html><body><p>Must have minimum 5 to 6 years of experience in SAP PLM , experience in OO ABAP , Webdypro , FPM , workflow, Enhacement framework , Enterprice search (Embedded search , TREX) , BOPF , UI5 is mandatory. good to have Adhoc(process routes), POWL, UWL, Worklist ,PLM WebUI, NWBC, BCV and Adobe forms</p><p> </p><p><strong>Technical Skills</strong></p><p><strong>Mandatory or Preferred?</strong></p><p><strong>OO ABAP     Mandatory</strong></p><p><strong>WebDynpro    Mandatory</strong></p><p><strong>FPM    Mandatory</strong></p><p><strong>Workflow - Standard   Mandatory</strong></p><p><strong>Adhoc(process routes), POWL, UWL, Worklist   Preferred </strong></p><p><strong>Document management system    Preferred</strong></p><p><strong>PLM WebUI, NWBC, BCV    Preferred   </strong></p><p><strong>Enhancement Framework Mandatory</strong></p><p><strong>Adobe Forms     Preferred</strong></p><p><strong>PLM Access control management    Preferred</strong></p><p><strong>Enterprise search(Embedded search, TREX)    Mandatory</strong></p><p><strong>BOPF Mandatory</strong></p><p><strong>SAP Migration  </strong></p><p><strong>UI5 Preferred</strong></p></body></html>",Coimbatore
24,"<html><body><p>Function developer role involves in developing algorithms for automotive applications, user interface inside vehicle, vehicle dynamics controlling functions, vehicle safety functions, customization of different modules that influence vehicle safety and dynamics. Some of the detailed activities can be found as mentioned below.</p><p>Work for next generation braking platform for hybrid and electric vehicles</p><p>• Work on algorithm development for Automated Braking Functions (Park Assist, TrafficJam Pilot)<br/>• Model-based Sensor signal processing<br/>• Model-based SW development using ASCET tool<br/>• Development and Testing on simulation and vehicle environments<br/>• Support for cross functional teams [Vehicle application, Hydraulics, Sensors]</p><p>• Working with global engineering teams to realize OEM requirements</p><p><strong>Skill Set:</strong></p><p>• Knowledge in Embedded SW development</p><p>• Knowledge on sensor and actuators relevant to automotive electronics</p><p>• Good analytical skills and research mindset</p><p>• Hands on experience in validation of embedded SW applications</p></body></html>",Bengaluru
25,"<html><body><p><strong>Job Description:</strong></p><p>·      Requirement analysis, design and implementation of Security concepts: Secure boot, Secure flash, Secure communication for DA product areas - Radar, Video, Ultrasonics</p><p>·      Development &amp; Execution of necessary tests as part of development</p><p>·      Delivery/Configuration management</p><p>·      Participation in regular Scrum ceremonies</p><p>·      Ensure process compliance with respect to ASPICE and QMM</p><p><strong>Skills Required:</strong></p><p>·      Very good knowledge of C &amp;/ C++ </p><p>·      Good debugging skills</p><p>·      Good knowledge on Micro controllers/processors</p><p>·      Usage of  crypto libraries ,hardware security module and PKI</p><p>·      Awareness of the SW development life cycle(Process, Methods &amp; Tools)</p><p>·      Familiar with Jenkins, JIRA, Doors, Git and Cmake</p><p>·      Knowhow of UDS, CAN, Ethernet, SPI, I2C , RTOS</p><p>·      Autosar Architecture  - NVM , DCM</p><p>·      Good Communication skills &amp; ability to work independently</p><p> </p></body></html>",bangalore
26,"<html><body><p>1. Application engineering of BODAS - Bosch Rexroth Mobile Electronics (products and solutions)</p><p>2. Development of control software for various mobile machines (Off Highway machines) such as Whheel Loaders and Excavators, Tractors etc based on Bosch Rexroth family of ECU (Electronic Control Units) and Displays by using C-Compiler and CoDeSys IEC -6113 standard based Programming Tools)</p><p>3. To design application solutions to various customers / application requirements by using Bosch Rexroth BODAS Mobile Electronics Products (ECU, Display, Sensors, Joysticks and Application Software Modules and IoT Products).</p><p>4. To involve in various customer discussions of project – such as to collect the detailed requirements, freezing the requirements and sign of the project.</p><p>5. To work on Technical documentations inline to Bosch Rexroth internal Process.</p><p>6. To Provide Technical Trainings to customers on Bosch Rexroth BODAS Mobile Electronics Products and Software /System Solutions</p><p>7. Based on the experience and feedback from the supported projects, define requirements for the further development /upgradation and the associated development environment (like bug fixing, additional requirements integration)</p><p>8. On site - Commissioning and Testing of Project/solutions at Customer factory locations and End Customer Field trial across pan India.</p></body></html>",Bangalore
27,"<html><body><p>Must have minimum 5 to 6 years of experience in SAP PLM ,s/4 HANA developer.</p><p>S No    Technical Skills    Mandatory or Preferred?    Min yrs of Exp <br/>1    OO ABAP       Mandatory    6yrs<br/>2    Core ABAP       Mandatory    6yrs<br/>3    ECM Process Overview       Mandatory    3yrs<br/>4    Enhancement Framework       Mandatory    2yrs<br/>5    PLM Access control management       Preferred    2yrs<br/>6    S/4HANA development       Preferred       2yrs</p></body></html>",Bengaluru
28,"<html><body><p>Job Description</p><p><strong>Tasks</strong></p><ul><li>Technically lead project teams working on AUTOSAR Base Software Configuration &amp; Integration</li><li>Identify and resolve issues faced in projects / OEM Acceptance test of AUTOSAR Base Software</li><li>Liaising with customers across geographies on AUTOSAR Base Software</li><li>Effort Estimation of tasks and providing inputs to Project Manager for proper planning and execution of projects</li><li>Review / creation of engineering specifications (high and low level design docs, test cases etc)</li></ul><p><strong>Skills</strong></p><ul><li>Sound knowledge of Classic AUTOSAR software configuration and integration methodology using System/ECU Extract, DEXT, DBC, FIBEX, RTE, SWCD ARXML</li><li>Hands on experience in configuring AUTOSAR Base Software modules for Communication &amp; Network Management (Ethernet, FlexRay, CAN FD, CAN, LIN, COM, PduR), Time Synchronization (EthTSyn, FrTsyn, CanTsyn, StbM), Diagnostics (DCM, DEM, DET, Transport Protocols), System Modules ( OS, ECU State Managers).</li><li>Experience in Gateway routing projects configuration / integration</li><li>Experience in CANoe based Test environment and CAPL test scripts</li><li>Knowledge of Memory (EEPROM, FLASH, FEE, NVM),  MCAL (Micro controller startup, Timers, Watchdog), Security stack</li><li>Development experience in AUTOSAR Basic software modules / knowledge of scripting languages (Python, PERL, oAW) / System Configuration (TopLevelComposition like Component instances, connectors) will be added advantage.</li><li>Ability to suggest innovative solutions, get into the root cause of technical problems and motivate team for technical excellence</li><li>Good Communication and Interpersonal skills</li><li>Knowledge of CMMI / ISO quality standards and compliance</li></ul></body></html>",Bengaluru
29,"<html><body><p>Conceptualize, document and communication of the SW Design for Automotive ECU Base SW.</p><ul><li>Requirement gathering and requirement elicitation as Function/Feature Owner (FO) tasks, Defining interfaces and co-ordination with other components for interface definition.</li><li>Preparing design from requirements</li><li>Able to estimate tasks, and do some basic planning and able to identify the dependencies and solve it.</li><li>Give technical direction to team on arriving at a robust solution</li><li>Perform reviews</li><li>Quality and risk handling as per the standard process in the organization</li><li>Mentor and build-up competency within the team</li><li>Have innovation mindset and look for new tool and technologies to be incorporated into the product development </li><li>Assist Project manager in team and project management activities</li></ul><p> </p><p> </p><p> </p></body></html>",Bengaluru
30,"<html><body><p><strong>About Video Project:</strong></p><p>The camera based driver assistance system helps the driver by recognizing their surroundings quickly and reliably, then by processing information with remarkable speed and responding to the situation in safe &amp; comfortable manner. Overall, they help to improve the safety by mitigating the potential accidents through predictive sensing of dangerous situations and also sharing the critical Information to the driver to improve the driving experience</p><p>For more info:</p><p><a href=""https://www.bosch-mobility-solutions.com/en/highlights/automated-mobility/driver-assistance-systems-for-passenger-cars/"">https://www.bosch-mobility-solutions.com/en/highlights/automated-mobility/driver-assistance-systems-for-passenger-cars/</a></p><p><a href=""https://www.bosch.com/stories/mpc3-self-driving-car-camera/"">https://www.bosch.com/stories/mpc3-self-driving-car-camera/</a></p><p>1.     Customer Requirement analysis, System &amp; software requirements elicitation, design and implementation of software based on AUTOSAR COM stack</p><p>2.     Development &amp; Execution of Unit Test as part of development</p><p>3.     Analyzing and debugging of Defects</p><p>4.     Actively respond to the customer queries, defects and close them within stipulated time</p><p><strong>Technical Skills</strong>:</p><p>1.     Solid experience in C and C++ programming for Automotive Embedded software</p><p>2.     Good understanding of AUTOSAR architecture</p><p>3.     Basic overview of ISO 26262, ASIL standards</p><p>4.     Knowledge in tools like CANAnalyzer / CANoe, CANstress, Lauterbach</p><p>5.     Hands-on experience in protocols like CAN, CAN-FD, Ethernet</p><p>6.     Familiar with tools like Git, MKS, JIRA &amp; DOORS</p><p>7.     Excellent verbal &amp; written communication skills, Presentation skills</p><p>8.     Great problem solving ability, ability to cope up with pressure</p><p> </p></body></html>",Bengaluru
31,<html><body><p>Hands-on experience in Git &amp; having deep understanding of Git concepts (Example: sub modules). Able to propose solution concepts</p><p>·       Experience in developing Web services and APIs (Experience in Git REST API is added advantage)</p><p> </p><p>·       Good knowledge in Spring and Hibernate framework</p><p>·       knowledge in one of the scripting language is required (Example: Python/ VBA/ Groovy)</p><p>·       Experience in implementing CI/CD Pipeline using Git as SCM</p><p>·       Good knowledge in software development process (Waterfall / Agile)</p></body></html>,Bengaluru
